ADDR (HEX),ADDR (DEC.),REGISTER NAME,SERIAL I/F,BIT7,BIT6,BIT5,BIT4,BIT3,BIT2,BIT1,BIT0
0,0,GYRO_SMPLRT_DIV,R/W,GYRO_SMPLRT_DIV[7:0],GYRO_SMPLRT_DIV[7:0],GYRO_SMPLRT_DIV[7:0],GYRO_SMPLRT_DIV[7:0],GYRO_SMPLRT_DIV[7:0],GYRO_SMPLRT_DIV[7:0],GYRO_SMPLRT_DIV[7:0],GYRO_SMPLRT_DIV[7:0]
1,1,GYRO_CONFIG_1,R/W,,,GYRO_DLPFCFG[2:0],GYRO_DLPFCFG[2:0],GYRO_DLPFCFG[2:0],GYRO_FS_SEL[1:0],GYRO_FS_SEL[1:0],GYRO_FCHOICE
2,2,GYRO_CONFIG_2,R/W,,,XGYRO_CTEN,YGYRO_CTEN,ZGYRO_CTEN,GYRO_AVGCFG[2:0],GYRO_AVGCFG[2:0],GYRO_AVGCFG[2:0]
3,3,XG_OFFS_USRH,R/W,X_OFFS_USER[15:8],X_OFFS_USER[15:8],X_OFFS_USER[15:8],X_OFFS_USER[15:8],X_OFFS_USER[15:8],X_OFFS_USER[15:8],X_OFFS_USER[15:8],X_OFFS_USER[15:8]
4,4,XG_OFFS_USRL,R/W,X_OFFS_USER[7:0],X_OFFS_USER[7:0],X_OFFS_USER[7:0],X_OFFS_USER[7:0],X_OFFS_USER[7:0],X_OFFS_USER[7:0],X_OFFS_USER[7:0],X_OFFS_USER[7:0]
5,5,YG_OFFS_USRH,R/W,Y_OFFS_USER[15:8],Y_OFFS_USER[15:8],Y_OFFS_USER[15:8],Y_OFFS_USER[15:8],Y_OFFS_USER[15:8],Y_OFFS_USER[15:8],Y_OFFS_USER[15:8],Y_OFFS_USER[15:8]
6,6,YG_OFFS_USRL,R/W,Y_OFFS_USER[7:0],Y_OFFS_USER[7:0],Y_OFFS_USER[7:0],Y_OFFS_USER[7:0],Y_OFFS_USER[7:0],Y_OFFS_USER[7:0],Y_OFFS_USER[7:0],Y_OFFS_USER[7:0]
7,7,ZG_OFFS_USRH,R/W,Z_OFFS_USER[15:8],Z_OFFS_USER[15:8],Z_OFFS_USER[15:8],Z_OFFS_USER[15:8],Z_OFFS_USER[15:8],Z_OFFS_USER[15:8],Z_OFFS_USER[15:8],Z_OFFS_USER[15:8]
8,8,ZG_OFFS_USRL,R/W,Z_OFFS_USER[7:0],Z_OFFS_USER[7:0],Z_OFFS_USER[7:0],Z_OFFS_USER[7:0],Z_OFFS_USER[7:0],Z_OFFS_USER[7:0],Z_OFFS_USER[7:0],Z_OFFS_USER[7:0]
9,9,ODR_ALIGN_EN,R/W,,,,,,,,ODR_ALIGN_EN
10,16,ACCEL_SMPLRT_DIV_1,R/W,,,,,ACCEL_SMPLRT_DIV[11:8],ACCEL_SMPLRT_DIV[11:8],ACCEL_SMPLRT_DIV[11:8],ACCEL_SMPLRT_DIV[11:8]
11,17,ACCEL_SMPLRT_DIV_2,R/W,ACCEL_SMPLRT_DIV[7:0],ACCEL_SMPLRT_DIV[7:0],ACCEL_SMPLRT_DIV[7:0],ACCEL_SMPLRT_DIV[7:0],ACCEL_SMPLRT_DIV[7:0],ACCEL_SMPLRT_DIV[7:0],ACCEL_SMPLRT_DIV[7:0],ACCEL_SMPLRT_DIV[7:0]
12,18,ACCEL_INTEL_CTRL,R/W,,,,,,,ACCEL_INTEL_EN,ACCEL_INTEL_MODE_INT
13,19,ACCEL_WOM_THR,R/W,WOM_THRESHOLD[7:0],WOM_THRESHOLD[7:0],WOM_THRESHOLD[7:0],WOM_THRESHOLD[7:0],WOM_THRESHOLD[7:0],WOM_THRESHOLD[7:0],WOM_THRESHOLD[7:0],WOM_THRESHOLD[7:0]
14,20,ACCEL_CONFIG,R/W,,,ACCEL_DLPFCFG[2:0],ACCEL_DLPFCFG[2:0],ACCEL_DLPFCFG[2:0],ACCEL_FS_SEL[1:0],ACCEL_FS_SEL[1:0],ACCEL_FCHOICE
15,21,ACCEL_CONFIG_2,R/W,,,,AX_ST_EN_RG,AY_ST_EN_RG,AZ_ST_EN_RG,DEC3_CFG[1:0],DEC3_CFG[1:0]
52,82,FSYNC_CONFIG,R/W,DELAY_TIME_EN,,WOF_DEGLITCH_EN,WOF_EDGE_INT,EXT_SYNC_SET[3:0],EXT_SYNC_SET[3:0],EXT_SYNC_SET[3:0],EXT_SYNC_SET[3:0]
53,83,TEMP_CONFIG,R/W,,,,,,TEMP_DLPFCFG[2:0],TEMP_DLPFCFG[2:0],TEMP_DLPFCFG[2:0]
54,84,MOD_CTRL_USR,R/W,,,,,,,,REG_LP_DMP_EN
7F,127,REG_BANK_SEL,R/W,,,USER_BANK[1:0],USER_BANK[1:0],,,,
