ADDR (HEX),ADDR (DEC.),REGISTER NAME,SERIAL I/F,BIT7,BIT6,BIT5,BIT4,BIT3,BIT2,BIT1,BIT0
0,0,WHO_AM_I,R,WHO_AM_I[7:0],WHO_AM_I[7:0],WHO_AM_I[7:0],WHO_AM_I[7:0],WHO_AM_I[7:0],WHO_AM_I[7:0],WHO_AM_I[7:0],WHO_AM_I[7:0]
3,3,USER_CTRL,R/W,DMP_EN,FIFO_EN,I2C_MST_EN,I2C_IF_DIS,DMP_RST,SRAM_RST,I2C_MST_RST,
5,5,LP_CONFIG,R/W,,I2C_MST_CYCLE,ACCEL_CYCLE,GYRO_CYCLE,,,,
6,6,PWR_MGMT_1,R/W,DEVICE_RESET,SLEEP,LP_EN,,TEMP_DIS,CLKSEL[2:0],CLKSEL[2:0],CLKSEL[2:0]
7,7,PWR_MGMT_2,R/W,,,DISABLE_ACCEL[5:3],DISABLE_ACCEL[5:3],DISABLE_ACCEL[5:3],DISABLE_GYRO[2:0],DISABLE_GYRO[2:0],DISABLE_GYRO[2:0]
0F,15,INT_PIN_CFG,R/W,INT1_ACTL,INT1_OPEN,INT1_LATCH_INT_EN,INT_ANYRD_2CLEAR,ACTL_FSYNC,FSYNC_INT_MODE_EN,BYPASS_EN,
10,16,INT_ENABLE,R/W,REG_WOF_EN,,,,WOM_INT_EN,PLL_RDY_EN,DMP_INT1_EN,I2C_MST_INT_EN
11,17,INT_ENABLE_1,R/W,,,,,,,,RAW_DATA_0_RDY_EN
12,18,INT_ENABLE_2,R/W,,,,FIFO_OVERFLOW_EN[4:0],FIFO_OVERFLOW_EN[4:0],FIFO_OVERFLOW_EN[4:0],FIFO_OVERFLOW_EN[4:0],FIFO_OVERFLOW_EN[4:0]
13,19,INT_ENABLE_3,R/W,,,,FIFO_WM_EN[4:0],FIFO_WM_EN[4:0],FIFO_WM_EN[4:0],FIFO_WM_EN[4:0],FIFO_WM_EN[4:0]
17,23,I2C_MST_STATUS,R/C,PASS_THROUH,I2C_SLV4_DONE,I2C_LOST_ARB,I2C_SLV4_NAK,I2C_SLV3_NAK,I2C_SLV2_NAK,I2C_SLV1_NAK,I2C_SLV0_NACK
19,25,INT_STATUS,R/C,,,,,WOM_INT,PLL_RDY_INT,DMP_INT1,I2C_MST_INT
1A,26,INT_STATUS_1,R/C,,,,,,,,RAW_DATA_0_RDY_INT
